10000 734
20000 772
30000 762
40000 741
50000 692
60000 801
70000 717
80000 746
90000 702
100000 739
110000 753
120000 727
130000 762
140000 591
150000 884
160000 755
170000 966
180000 578
190000 860
200000 783
210000 527
220000 893
230000 853
240000 526
250000 855
260000 866
270000 556
280000 1220
290000 526
300000 835
310000 485
320000 956
330000 506
340000 1045
350000 509
360000 889
370000 509
380000 888
390000 512
400000 972
410000 509
420000 914
430000 503
440000 920
450000 690
460000 937
470000 499
480000 1110
490000 507
500000 508
510000 967
520000 506
530000 1069
540000 501
550000 532
560000 971
570000 512
580000 987
590000 500
600000 507
610000 1031
620000 512
630000 1062
640000 506
650000 506
660000 1026
670000 524
680000 511
690000 1031
700000 533
710000 1063
720000 510
730000 540
740000 1077
750000 530
760000 509
770000 1066
780000 584
790000 552
800000 1148
810000 549
820000 552
830000 1163
840000 547
850000 550
860000 1418
870000 556
880000 660
890000 1201
900000 541
910000 546
920000 1246
930000 636
940000 581
950000 686
960000 1114
970000 504
980000 498
990000 1109
1000000 532
