10000 161
20000 450
30000 429
40000 649
50000 1436
60000 1352
70000 1284
80000 1446
90000 2093
100000 2517
110000 3754
120000 6036
130000 2358
140000 2500
150000 2811
160000 4273
170000 3411
180000 3395
190000 3836
200000 3872
210000 3917
220000 4346
230000 4485
240000 4694
250000 4618
260000 4828
270000 5308
280000 5264
290000 5568
300000 5609
310000 5875
320000 6056
330000 6326
340000 6375
350000 6739
360000 6772
370000 7018
380000 7126
390000 7379
400000 7801
410000 7686
420000 8625
430000 11311
440000 12754
450000 9143
460000 8718
470000 9006
480000 8920
490000 9116
500000 9457
510000 9795
520000 11340
530000 10903
540000 13306
550000 11877
560000 10751
570000 11294
580000 11064
590000 11148
600000 11771
610000 13134
620000 15778
630000 14849
640000 12484
650000 12640
660000 12601
670000 12816
680000 12982
690000 13068
700000 13090
710000 13346
720000 14523
730000 14235
740000 14626
750000 15896
760000 15826
770000 24780
780000 18362
790000 26300
800000 16107
810000 17309
820000 18344
830000 16042
840000 18935
850000 19244
860000 21475
870000 17824
880000 17244
890000 17233
900000 20842
910000 17674
920000 17693
930000 19030
940000 18533
950000 18129
960000 18774
970000 21394
980000 18836
990000 19769
1000000 20301
